epoch,step,test/acc_epoch,test/acc_step,test/loss_epoch,test/loss_step,train/acc_epoch,train/acc_step,train/loss_epoch,train/loss_step,val/acc_epoch,val/acc_step,val/loss_epoch,val/loss_step
0,4,,,,,,0.28125,,2.2056381702423096,,,,
0,9,,,,,,0.375,,2.169015884399414,,,,
0,14,,,,,,0.5,,2.0314674377441406,,,,
0,19,,,,,,0.59375,,1.9597971439361572,,,,
,0,,,,,,,,,,0.96875,,1.6716569662094116
,1,,,,,,,,,,0.96875,,1.7536041736602783
,2,,,,,,,,,,0.8125,,1.8549182415008545
,3,,,,,,,,,,0.875,,1.7339422702789307
,4,,,,,,,,,,1.0,,1.3159446716308594
0,21,,,,,,,,,0.9136690497398376,,1.7189011573791504,
0,21,,,,,0.4086330831050873,,2.1067798137664795,,,,,
,0,,0.84375,,1.8256504535675049,,,,,,,,
,1,,0.78125,,1.840908169746399,,,,,,,,
,2,,0.84375,,1.7363951206207275,,,,,,,,
,3,,0.9375,,1.7471781969070435,,,,,,,,
,4,,0.71875,,1.888575553894043,,,,,,,,
,5,,0.75,,1.865100383758545,,,,,,,,
,6,,0.5,,1.857985496520996,,,,,,,,
1,22,0.8092783689498901,,1.817720890045166,,,,,,,,,
