epoch,step,test/acc_epoch,test/acc_step,test/loss_epoch,test/loss_step,train/acc_epoch,train/acc_step,train/loss_epoch,train/loss_step,val/acc_epoch,val/acc_step,val/loss_epoch,val/loss_step
0,4,,,,,,0.28125,,2.2024385929107666,,,,
0,9,,,,,,0.40625,,2.120820999145508,,,,
0,14,,,,,,0.625,,1.987370491027832,,,,
,0,,,,,,,,,,0.96875,,1.654611587524414
,1,,,,,,,,,,0.6875,,1.8965377807617188
,2,,,,,,,,,,0.78125,,1.874282717704773
,3,,,,,,,,,,0.625,,2.016382932662964
,4,,,,,,,,,,0.9090909361839294,,1.8285431861877441
0,18,,,,,,,,,0.7769784331321716,,1.8579286336898804,
0,18,,,,,0.44873949885368347,,2.110866069793701,,,,,
,0,,0.90625,,1.8120242357254028,,,,,,,,
,1,,0.75,,1.823864459991455,,,,,,,,
,2,,0.84375,,1.8471442461013794,,,,,,,,
,3,,0.78125,,1.895627498626709,,,,,,,,
,4,,0.78125,,1.814651608467102,,,,,,,,
,5,,1.0,,1.9386590719223022,,,,,,,,
1,19,0.8192771077156067,,1.842276692390442,,,,,,,,,
